                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.766,                 3.7784,                 3.2573,                0.37499,                0.19176,                0.09028,                0.04403,                 1.2553,                 3.6021,                 3.2489,             0.00020255,             0.00020255,             0.00020255
                      2,                 1.3754,                 3.0126,                 2.8552,                0.22901,                0.33743,                0.16803,                0.10194,                 1.2449,                  2.908,                 2.9404,             0.00040681,             0.00040681,             0.00040681
                      3,                 1.2549,                  2.697,                 2.8028,                0.15961,                0.44946,                0.20994,                0.12227,                 1.1883,                 2.6594,                 2.8303,             0.00060695,             0.00060695,             0.00060695
                      4,                 1.2235,                 2.4915,                 2.6536,                0.36674,                0.30715,                0.26383,                0.17743,                 1.0577,                 2.4695,                  2.709,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1985,                  2.382,                  2.685,                0.18467,                0.42168,                0.22194,                 0.1421,                 1.0416,                 2.5553,                 2.7281,             0.00060644,             0.00060644,             0.00060644
                      6,                 1.1444,                  2.319,                 2.7113,                0.17803,                0.44995,                0.22867,                0.13586,                 1.1308,                 2.5487,                  2.823,             0.00060025,             0.00060025,             0.00060025
                      7,                 1.2083,                 2.2175,                 2.6411,                0.20964,                0.40931,                0.28764,                0.16831,                 1.0415,                 2.4583,                 2.7144,             0.00059406,             0.00059406,             0.00059406
                      8,                  1.174,                 2.1542,                 2.6774,                0.22855,                0.50881,                0.31678,                0.19754,                  1.126,                 2.4362,                 2.8414,             0.00058787,             0.00058787,             0.00058787
                      9,                 1.1206,                  2.077,                 2.6316,                0.20736,                0.48556,                0.31086,                0.20654,                 1.0419,                 2.3462,                  2.627,             0.00058169,             0.00058169,             0.00058169
                     10,                 1.1236,                 1.9627,                 2.5669,                0.26917,                0.44735,                0.34727,                  0.239,                 1.0109,                 2.2753,                 2.5525,              0.0005755,              0.0005755,              0.0005755
                     11,                 1.0582,                 1.8618,                 2.5327,                0.21686,                0.45968,                0.31746,                0.20616,                0.98541,                 2.3627,                 2.6709,             0.00056931,             0.00056931,             0.00056931
                     12,                 1.0539,                 1.8311,                  2.485,                0.27816,                0.42012,                 0.3251,                0.22435,                 1.0306,                 2.2684,                 2.6244,             0.00056313,             0.00056313,             0.00056313
                     13,                 1.0916,                 1.8095,                 2.5848,                0.45922,                0.30639,                0.32033,                0.21704,                 1.0615,                 2.2223,                 2.5905,             0.00055694,             0.00055694,             0.00055694
                     14,                 1.0631,                 1.7321,                 2.5831,                0.37603,                0.35033,                0.35279,                0.24664,                 1.0777,                 2.3441,                 2.7262,             0.00055075,             0.00055075,             0.00055075
                     15,                 1.0451,                 1.6767,                 2.5642,                0.33053,                0.37744,                0.34853,                0.24371,                  1.006,                 2.4039,                 2.6182,             0.00054456,             0.00054456,             0.00054456
                     16,                0.98475,                 1.5975,                 2.4918,                 0.2616,                0.36283,                0.31634,                0.21634,                  1.012,                  2.393,                  2.652,             0.00053838,             0.00053838,             0.00053838
                     17,                0.98862,                 1.5548,                 2.4357,                0.26363,                0.41361,                0.30609,                0.22136,                 1.0977,                 2.4527,                 2.7102,             0.00053219,             0.00053219,             0.00053219
                     18,                 1.0046,                 1.5507,                 2.5043,                0.30563,                0.37245,                0.32413,                0.22616,                 1.0519,                 2.5063,                  2.622,               0.000526,               0.000526,               0.000526
                     19,                0.97119,                 1.4989,                  2.512,                0.35656,                0.27185,                0.34348,                0.24272,                0.97183,                 2.4519,                 2.6505,             0.00051981,             0.00051981,             0.00051981
                     20,                0.98862,                 1.4642,                 2.4377,                0.29724,                0.44726,                0.37325,                0.27851,                 1.0013,                 2.3068,                 2.5281,             0.00051363,             0.00051363,             0.00051363
                     21,                0.98049,                 1.4417,                 2.4021,                0.28515,                0.46544,                 0.3662,                0.25353,                 1.0939,                 2.3247,                 2.6325,             0.00050744,             0.00050744,             0.00050744
                     22,                0.96095,                 1.3688,                 2.4016,                0.30763,                0.40777,                0.34429,                0.24361,                 1.0955,                 2.3837,                 2.6889,             0.00050125,             0.00050125,             0.00050125
                     23,                0.94086,                 1.3803,                 2.4495,                0.39829,                0.35891,                0.34774,                0.25608,                 1.0206,                 2.4478,                 2.5854,             0.00049506,             0.00049506,             0.00049506
                     24,                0.93384,                 1.3525,                 2.3673,                0.27807,                0.44216,                0.33748,                0.23732,                 0.9701,                 2.3755,                 2.5655,             0.00048888,             0.00048888,             0.00048888
                     25,                0.92078,                 1.2707,                 2.4126,                0.28274,                 0.3948,                0.32675,                0.22694,                 1.0665,                 2.4319,                 2.7296,             0.00048269,             0.00048269,             0.00048269
                     26,                0.88505,                  1.228,                 2.3881,                0.39011,                0.35768,                0.34631,                0.24777,                 1.1085,                 2.4139,                 2.7033,              0.0004765,              0.0004765,              0.0004765
                     27,                0.89184,                 1.2028,                 2.3584,                0.36461,                0.45192,                0.38449,                0.26496,                 1.0892,                 2.2931,                 2.6972,             0.00047031,             0.00047031,             0.00047031
                     28,                0.89205,                 1.1995,                 2.3622,                0.32769,                0.46312,                0.40333,                0.27937,                 1.0302,                 2.2658,                 2.6027,             0.00046413,             0.00046413,             0.00046413
                     29,                0.89751,                  1.211,                 2.3529,                0.39049,                0.49893,                 0.4225,                0.29906,                0.99583,                 2.2972,                 2.5636,             0.00045794,             0.00045794,             0.00045794
                     30,                0.90107,                 1.1841,                 2.3919,                0.35155,                0.43907,                0.38352,                0.26835,                 1.0645,                 2.1726,                 2.6131,             0.00045175,             0.00045175,             0.00045175
                     31,                0.87762,                 1.1354,                 2.3674,                0.43638,                0.36458,                0.39067,                0.27096,                 1.1038,                 2.2779,                 2.6909,             0.00044556,             0.00044556,             0.00044556
                     32,                0.88585,                 1.1443,                  2.375,                 0.3749,                0.45201,                0.42552,                0.30251,                 1.0668,                 2.3576,                 2.6246,             0.00043937,             0.00043937,             0.00043937
                     33,                0.88141,                 1.1198,                 2.3533,                 0.2755,                0.45436,                0.37542,                0.26234,                 1.0661,                 2.4264,                  2.611,             0.00043319,             0.00043319,             0.00043319
                     34,                0.85145,                 1.0546,                 2.3373,                  0.305,                0.42705,                0.35057,                0.25033,                 1.0003,                 2.3597,                 2.5702,               0.000427,               0.000427,               0.000427
                     35,                0.83467,                  1.095,                 2.3247,                0.52031,                0.29934,                0.34891,                0.25185,                 1.0108,                  2.414,                 2.5815,             0.00042081,             0.00042081,             0.00042081
                     36,                0.81717,                 1.0423,                 2.2987,                0.34784,                0.36576,                0.36715,                0.27738,                 1.0443,                 2.3068,                 2.6668,             0.00041462,             0.00041462,             0.00041462
                     37,                0.84478,                 1.0404,                 2.3723,                0.34781,                0.34831,                0.37165,                0.26497,                 1.0963,                 2.3555,                 2.7043,             0.00040844,             0.00040844,             0.00040844
                     38,                0.86024,                 1.0438,                 2.3554,                0.44157,                0.34813,                0.37049,                0.26483,                 1.0463,                  2.401,                 2.6201,             0.00040225,             0.00040225,             0.00040225
                     39,                0.80146,                      1,                 2.2769,                0.37318,                0.35892,                0.39425,                0.28398,                 1.0386,                 2.4386,                 2.6187,             0.00039606,             0.00039606,             0.00039606
                     40,                0.77961,                 1.0005,                 2.2962,                0.50703,                0.38424,                0.41353,                0.30251,                  1.022,                 2.2786,                 2.5596,             0.00038988,             0.00038988,             0.00038988
