                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.87133,                 1.2554,                 2.3833,                0.32317,                0.41821,                0.35042,                0.25294,                 1.0339,                 2.2355,                 2.6069,             0.00052291,             0.00052291,             0.00052291
                     36,                0.87261,                 1.2571,                 2.3564,                0.30577,                0.42973,                0.34076,                0.24439,                0.94513,                 2.3163,                 2.5345,             0.00051981,             0.00051981,             0.00051981
                     37,                0.91093,                 1.2729,                 2.4049,                0.26181,                0.39918,                0.33874,                0.24512,                0.98262,                 2.3604,                 2.5652,             0.00051672,             0.00051672,             0.00051672
                     38,                0.89522,                 1.2397,                 2.3731,                0.24239,                0.39309,                0.31386,                0.22357,                 1.0237,                 2.4396,                 2.5935,             0.00051363,             0.00051363,             0.00051363
                     39,                0.85698,                 1.2014,                 2.2934,                0.30307,                0.35025,                0.31522,                0.22233,                 1.0724,                 2.6098,                 2.6263,             0.00051053,             0.00051053,             0.00051053
                     40,                0.92625,                 1.2446,                  2.406,                0.34112,                0.33091,                0.32832,                0.23878,                 1.0578,                 2.4323,                 2.6748,             0.00050744,             0.00050744,             0.00050744
                     41,                 0.8929,                 1.1902,                 2.4217,                0.29793,                0.50999,                0.37327,                0.27301,                 1.0502,                 2.2996,                 2.6594,             0.00050434,             0.00050434,             0.00050434
                     42,                0.85569,                 1.1798,                    2.4,                0.30747,                0.34221,                0.33794,                0.24872,                0.98176,                 2.3852,                 2.5997,             0.00050125,             0.00050125,             0.00050125
                     43,                0.85063,                 1.1686,                 2.3845,                0.26829,                0.43959,                 0.3574,                 0.2658,                   1.03,                 2.2921,                 2.6122,             0.00049816,             0.00049816,             0.00049816
                     44,                0.86969,                 1.1491,                 2.3811,                0.34011,                0.44025,                0.38005,                 0.2863,                 1.0029,                 2.1829,                 2.5677,             0.00049506,             0.00049506,             0.00049506
                     45,                0.88072,                 1.1994,                 2.3386,                0.39214,                0.33153,                0.34709,                0.26484,                 1.0104,                 2.2705,                  2.625,             0.00049197,             0.00049197,             0.00049197
                     46,                0.84558,                 1.1647,                 2.3424,                0.32642,                0.37213,                0.38121,                0.28328,                 1.0103,                 2.2406,                 2.6154,             0.00048888,             0.00048888,             0.00048888
                     47,                0.87415,                 1.1865,                 2.3652,                0.32798,                0.39819,                0.37842,                0.28518,                 1.0587,                 2.3763,                 2.6474,             0.00048578,             0.00048578,             0.00048578
                     48,                0.86597,                 1.1221,                 2.3596,                0.44499,                0.35909,                0.34359,                0.25268,                 1.0256,                 2.2783,                 2.6281,             0.00048269,             0.00048269,             0.00048269
                     49,                0.85657,                 1.1019,                  2.386,                 0.2993,                0.40548,                0.34552,                0.25757,                0.97684,                 2.4662,                 2.6132,             0.00047959,             0.00047959,             0.00047959
                     50,                0.84371,                 1.0506,                 2.3341,                0.34125,                0.40007,                 0.3759,                0.27322,                  1.022,                 2.2995,                 2.6333,              0.0004765,              0.0004765,              0.0004765
                     51,                0.88373,                 1.0599,                 2.3358,                0.30208,                0.45075,                0.38179,                0.28615,                 1.0192,                 2.3206,                  2.605,             0.00047341,             0.00047341,             0.00047341
                     52,                0.87242,                 1.1105,                 2.3413,                0.35602,                0.36821,                0.36549,                 0.2728,                 1.0431,                 2.3397,                 2.6521,             0.00047031,             0.00047031,             0.00047031
                     53,                0.83498,                 1.0878,                 2.3524,                0.37588,                0.31038,                0.34636,                0.25029,                 1.0363,                   2.41,                 2.6591,             0.00046722,             0.00046722,             0.00046722
                     54,                0.81906,                 1.0272,                 2.3003,                0.37264,                0.41241,                0.37943,                0.27881,                 1.0544,                 2.2617,                 2.6872,             0.00046413,             0.00046413,             0.00046413
                     55,                0.82904,                 1.0267,                 2.3024,                0.39268,                0.36355,                0.38071,                0.28429,                 1.0549,                 2.1971,                 2.6602,             0.00046103,             0.00046103,             0.00046103
                     56,                0.82656,                 1.0137,                 2.3112,                0.37177,                 0.4108,                0.38564,                0.27456,                 1.0971,                 2.2247,                 2.6758,             0.00045794,             0.00045794,             0.00045794
                     57,                 0.8356,                0.99963,                 2.2786,                0.34195,                0.42992,                0.38391,                0.27286,                 1.0728,                 2.3313,                 2.7131,             0.00045484,             0.00045484,             0.00045484
                     58,                0.80976,                0.99822,                 2.3505,                 0.3159,                0.44351,                 0.3639,                0.26315,                 1.0393,                 2.3815,                 2.6216,             0.00045175,             0.00045175,             0.00045175
                     59,                0.79858,                0.98474,                 2.3161,                 0.4114,                0.38926,                 0.3792,                0.26496,                0.99609,                 2.3695,                 2.5954,             0.00044866,             0.00044866,             0.00044866
                     60,                0.80713,                 1.0045,                  2.311,                0.29886,                0.43546,                 0.3773,                0.26187,                 1.0188,                 2.3176,                 2.6054,             0.00044556,             0.00044556,             0.00044556
                     61,                0.80093,                 0.9843,                 2.3208,                0.31786,                0.46748,                0.37112,                0.27057,                 1.0259,                 2.3405,                 2.7043,             0.00044247,             0.00044247,             0.00044247
                     62,                0.80688,                 1.0224,                 2.3273,                 0.4126,                0.39626,                0.40477,                0.29247,                0.98527,                 2.2481,                  2.659,             0.00043937,             0.00043937,             0.00043937
                     63,                0.81285,                0.98563,                 2.3255,                0.33847,                0.44969,                 0.4073,                0.29296,                0.97872,                  2.218,                 2.6148,             0.00043628,             0.00043628,             0.00043628
                     64,                0.81461,                 1.0177,                 2.2736,                0.31792,                0.46018,                0.36835,                0.27179,                 1.0407,                 2.4402,                 2.6896,             0.00043319,             0.00043319,             0.00043319
                     65,                0.78051,                0.95704,                 2.3191,                 0.2987,                0.47779,                0.37853,                0.28193,                0.99712,                 2.3577,                 2.6545,             0.00043009,             0.00043009,             0.00043009
                     66,                 0.7995,                 0.9719,                 2.3433,                0.37551,                0.40706,                 0.4041,                0.29586,                0.98491,                 2.3378,                  2.619,               0.000427,               0.000427,               0.000427
                     67,                0.81527,                0.97742,                   2.29,                0.30548,                0.42753,                0.36242,                0.27371,                0.97765,                 2.4131,                 2.5845,             0.00042391,             0.00042391,             0.00042391
                     68,                0.78676,                0.94707,                 2.3064,                0.35546,                0.37348,                0.35999,                0.26015,                0.99625,                 2.3464,                 2.6384,             0.00042081,             0.00042081,             0.00042081
                     69,                0.74724,                0.92134,                 2.2804,                0.36356,                0.38706,                0.36165,                0.26256,                 1.0256,                 2.3497,                 2.6921,             0.00041772,             0.00041772,             0.00041772
                     70,                0.79313,                0.96054,                 2.3008,                 0.3689,                0.39363,                0.38531,                 0.2855,                 1.0663,                 2.3371,                 2.7701,             0.00041462,             0.00041462,             0.00041462
                     71,                0.80353,                0.93812,                 2.3207,                0.34077,                0.36779,                0.35901,                0.28573,                0.98037,                 2.4252,                 2.6224,             0.00041153,             0.00041153,             0.00041153
                     72,                0.77547,                0.89447,                 2.2944,                0.38002,                0.42755,                0.38386,                0.29333,                0.98709,                  2.337,                 2.6311,             0.00040844,             0.00040844,             0.00040844
                     73,                0.75208,                 0.9082,                  2.241,                0.35611,                  0.385,                0.37267,                0.28351,                 1.0089,                 2.4257,                 2.6274,             0.00040534,             0.00040534,             0.00040534
                     74,                0.75584,                0.87141,                 2.2557,                0.36695,                0.37371,                0.36977,                0.27305,                 1.0089,                 2.4158,                 2.6389,             0.00040225,             0.00040225,             0.00040225
                     75,                0.76253,                0.88185,                 2.2679,                0.33491,                0.39544,                0.36504,                0.26844,                 1.0147,                 2.4598,                 2.6224,             0.00039916,             0.00039916,             0.00039916
                     76,                0.77526,                0.90696,                 2.2995,                0.29821,                0.46808,                0.35854,                0.25416,                 1.0689,                 2.5153,                 2.6885,             0.00039606,             0.00039606,             0.00039606
                     77,                0.75325,                0.89538,                 2.2772,                0.28011,                  0.466,                0.35507,                0.26765,                0.99608,                 2.4294,                 2.6414,             0.00039297,             0.00039297,             0.00039297
                     78,                0.73927,                0.85468,                 2.3278,                0.35799,                0.32483,                0.35001,                0.26047,                0.97732,                 2.4726,                 2.6762,             0.00038988,             0.00038988,             0.00038988
                     79,                0.74679,                0.84426,                 2.2327,                0.42345,                0.29361,                0.35018,                0.27057,                  0.984,                 2.3897,                 2.6113,             0.00038678,             0.00038678,             0.00038678
                     80,                0.75306,                0.88347,                 2.2498,                0.36051,                0.32312,                0.34604,                0.25882,                 1.0347,                 2.4396,                 2.7045,             0.00038369,             0.00038369,             0.00038369
                     81,                0.75788,                 0.8893,                 2.3479,                0.29953,                0.41078,                 0.3604,                0.27488,                0.99804,                 2.5194,                 2.6618,             0.00038059,             0.00038059,             0.00038059
                     82,                 0.7307,                 0.8803,                 2.2703,                0.28301,                0.46155,                0.35524,                0.26692,                 0.9992,                 2.5045,                 2.6354,              0.0003775,              0.0003775,              0.0003775
                     83,                0.73229,                0.84653,                 2.2785,                0.33257,                0.44124,                0.35696,                 0.2705,                 1.0174,                 2.4474,                 2.6614,             0.00037441,             0.00037441,             0.00037441
                     84,                0.72105,                0.81818,                 2.2208,                0.35087,                0.39262,                0.35816,                 0.2632,                 1.0151,                 2.4538,                 2.6573,             0.00037131,             0.00037131,             0.00037131
                     85,                0.71866,                0.81412,                 2.2117,                0.46273,                0.30248,                0.38694,                0.27957,                 1.0333,                  2.299,                 2.6805,             0.00036822,             0.00036822,             0.00036822
                     86,                 0.7396,                0.83988,                 2.2843,                0.33387,                  0.419,                0.38897,                0.29555,                0.98657,                 2.3584,                  2.642,             0.00036513,             0.00036513,             0.00036513
                     87,                0.73599,                0.86866,                 2.2738,                0.32877,                0.44061,                 0.3927,                0.29147,                0.99295,                 2.3675,                 2.6251,             0.00036203,             0.00036203,             0.00036203
                     88,                0.72667,                0.84435,                 2.2646,                0.44556,                0.34919,                0.38885,                 0.2941,                 1.0336,                 2.3016,                 2.6728,             0.00035894,             0.00035894,             0.00035894
                     89,                0.75495,                0.86616,                 2.2526,                0.37063,                 0.4131,                0.37597,                0.28255,                 1.0501,                 2.3559,                 2.6865,             0.00035584,             0.00035584,             0.00035584
                     90,                0.73885,                0.81728,                 2.2206,                   0.31,                0.44147,                 0.3598,                0.27582,                0.99208,                 2.3189,                 2.6241,             0.00035275,             0.00035275,             0.00035275
                     91,                0.71591,                0.84451,                 2.2322,                0.28029,                 0.4565,                0.34525,                0.26449,                 1.0113,                 2.3754,                 2.6409,             0.00034966,             0.00034966,             0.00034966
                     92,                0.69939,                0.81736,                 2.2432,                0.32995,                0.38775,                0.34931,                 0.2598,                 1.0135,                 2.3944,                 2.6928,             0.00034656,             0.00034656,             0.00034656
                     93,                0.70519,                0.79939,                 2.2565,                0.34616,                0.39499,                0.36254,                0.25994,                 1.0947,                  2.377,                  2.775,             0.00034347,             0.00034347,             0.00034347
                     94,                0.67763,                0.77865,                 2.1982,                0.35143,                0.35727,                0.37589,                0.27347,                 1.0984,                 2.3431,                 2.8062,             0.00034038,             0.00034038,             0.00034038
                     95,                 0.6816,                 0.7726,                  2.201,                0.31146,                0.36679,                0.37272,                0.28021,                 1.0446,                 2.3935,                 2.7433,             0.00033728,             0.00033728,             0.00033728
                     96,                0.71255,                0.79343,                  2.209,                0.29195,                 0.4208,                0.35277,                0.26673,                 1.0829,                 2.5034,                 2.8206,             0.00033419,             0.00033419,             0.00033419
                     97,                0.68507,                0.77294,                 2.1734,                0.29945,                0.48208,                0.35546,                 0.2668,                 1.0326,                 2.4553,                 2.7453,             0.00033109,             0.00033109,             0.00033109
                     98,                0.71075,                0.80661,                 2.2836,                0.35681,                0.39793,                0.37048,                0.27317,                 1.0465,                 2.3469,                 2.7019,               0.000328,               0.000328,               0.000328
                     99,                0.68145,                0.73494,                 2.2197,                0.35098,                0.47362,                0.39427,                0.28038,                 1.0425,                  2.349,                 2.7355,             0.00032491,             0.00032491,             0.00032491
                    100,                0.68541,                0.75963,                 2.2076,                0.35788,                0.43639,                0.39592,                0.28943,                  1.002,                  2.333,                 2.7021,             0.00032181,             0.00032181,             0.00032181
                    101,                0.68177,                0.81171,                 2.2353,                 0.3859,                0.33045,                  0.371,                0.26911,                 1.0024,                 2.4012,                 2.6642,             0.00031872,             0.00031872,             0.00031872
                    102,                 0.6744,                0.73734,                 2.1926,                0.39019,                0.35176,                0.37166,                0.27177,                 0.9745,                 2.2906,                 2.6362,             0.00031562,             0.00031562,             0.00031562
                    103,                0.70643,                0.78846,                 2.2631,                0.29849,                0.43269,                0.38395,                0.29442,                0.96757,                 2.2923,                 2.6709,             0.00031253,             0.00031253,             0.00031253
                    104,                0.67069,                0.71448,                 2.1888,                0.27243,                0.43048,                 0.3654,                0.26842,                 1.0402,                  2.425,                 2.7218,             0.00030944,             0.00030944,             0.00030944
                    105,                0.65065,                0.74549,                  2.215,                0.27221,                0.45649,                0.36117,                0.25991,                 1.0471,                 2.4016,                 2.7049,             0.00030634,             0.00030634,             0.00030634
                    106,                0.67307,                 0.7248,                 2.1906,                0.31659,                0.42361,                 0.3673,                0.26605,                 1.0494,                 2.3591,                 2.7246,             0.00030325,             0.00030325,             0.00030325
                    107,                0.67162,                0.75438,                  2.149,                0.31031,                0.43845,                0.36973,                 0.2605,                 1.1019,                 2.4643,                 2.8163,             0.00030016,             0.00030016,             0.00030016
                    108,                0.65873,                0.71963,                 2.1879,                0.31001,                0.43626,                0.37878,                0.26847,                  1.083,                   2.43,                 2.7837,             0.00029706,             0.00029706,             0.00029706
                    109,                0.67779,                0.75861,                 2.2191,                0.37153,                0.47056,                0.38733,                0.27785,                 1.0388,                 2.4282,                 2.7027,             0.00029397,             0.00029397,             0.00029397
                    110,                0.65265,                  0.701,                 2.2048,                  0.314,                0.47768,                0.37668,                0.26964,                 1.0837,                  2.368,                 2.7657,             0.00029088,             0.00029088,             0.00029088
                    111,                0.67315,                0.70798,                 2.2608,                0.29062,                0.47936,                0.36554,                 0.2662,                  1.093,                  2.432,                 2.7892,             0.00028778,             0.00028778,             0.00028778
                    112,                0.68377,                0.70946,                 2.1931,                0.35711,                0.45974,                0.37121,                0.27079,                 1.0688,                 2.3789,                 2.7485,             0.00028469,             0.00028469,             0.00028469
                    113,                0.66639,                0.74819,                 2.2287,                0.29387,                0.48028,                0.38452,                0.28035,                 1.0515,                  2.379,                 2.7564,             0.00028159,             0.00028159,             0.00028159
                    114,                0.65927,                0.70057,                 2.1554,                0.43778,                0.38305,                0.39347,                0.28458,                 1.0249,                 2.3966,                 2.7385,              0.0002785,              0.0002785,              0.0002785
                    115,                0.66153,                0.67562,                  2.181,                0.38211,                0.35249,                0.39301,                0.27889,                  1.074,                   2.33,                  2.811,             0.00027541,             0.00027541,             0.00027541
                    116,                0.67525,                0.71782,                 2.2212,                0.30835,                0.39965,                0.39033,                 0.2837,                 1.0418,                  2.335,                 2.6829,             0.00027231,             0.00027231,             0.00027231
